rank,grade,channelName,videoUploads,subscribers,videoViews
114th,A ,Wave Music - Bhojpuri,14307,6133550,3379150048
115th,A ,CookieSwirlC,2874,9213304,9298343650
116th,A ,Bee Kids Games - Children TV,740,-- ,414535723
117th,A ,قناة طيور الجنة |…,2218,9174889,8504219475
118th,A ,Vidol TV,357,595068,338703141
119th,A ,SIS vs BRO,253,6579270,2260525646
120th,A ,BLACKPINK,179,11604439,2947790223
121st,A ,BillionSurpriseToys - Nursery…,223,16271451,5183283439
122nd,A ,shakiraVEVO,142,19689891,14533614800
123rd,A ,Super Simple Songs - Kids Songs,445,11419859,10528195079
124th,A ,Fischer's-フィッシャーズ-,1626,5015503,5418686430
125th,A ,Animal Family,25,5032200,735698294
126th,A ,Alan Walker,141,17225892,4666424253
127th,A ,TheEllenShow,9066,27765423,13403860667
128th,A ,Family Fun Pack,1253,7552928,10014750723
129th,A ,SebastianYatraVEVO,21,2851437,2034588299
130th,A ,For Kids Learn,66,647110,129490054
131st,A ,Fozi Mozi,645,3564584,3232333195
132nd,A ,Osman Vargas,884,3463566,3661895184
133rd,A ,AnuelVEVO,29,1100382,651668495
134th,A ,Goldmines,143,4679372,341081506
135th,A ,Oops Zeros,514,548850,104953122
136th,A ,Miss Katy,605,9684269,5704760485
137th,A ,Las Ratitas,83,5768549,1308569692
138th,A ,Marília Mendonça,69,9254263,5295016523
139th,A ,LEGO,19293,6207095,8118958980
140th,A ,Scopian01,801,1319834,1219988066
141st,A ,Sonotek Haryanvi,6370,5873167,2130708836
142nd,A ,DuDuPopTOY,683,4181344,2171187145
143rd,A ,ChiChi TV Siêu Nhân,421,-- ,2600394871
144th,A ,MusicTalentNow,1487,-- ,3252752212
145th,A ,YoungBoy Never Broke Again,186,3318535,1665788162
146th,A ,Rotana,5635,8539250,5738075498
147th,A ,Volga Video,28663,6498020,3366976772
148th,A ,Trap Nation,1458,22331643,7760362155
149th,A ,FunFun ToyShow,447,4533982,1881201276
150th,A ,EminemVEVO,80,26650488,11317532576
